[55.86605046256052, 49.07751363142922];12910;6858;Зона индифидуальной и блокированной жилой застройки
[55.85844989210669, 49.097790215192205];13896;7493;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.86076205652522, 49.1011128167036];14050;7301;Зона многоквартиной многоэтажной жилой застройки
[55.860484236577484, 49.09768561964577];13887;7324;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.856545533835046, 49.08306987914005];13196;7650;Зона индифидуальной и блокированной жилой застройки
[55.85318312116005, 49.082583088226954];13179;7930;Зона многоквартиной многоэтажной жилой застройки
[55.86561202210543, 49.10175555946954];14071;6897;Зона многоквартиной многоэтажной жилой застройки
[55.8570143121254, 49.078596645210645];12981;7611;Зона индифидуальной и блокированной жилой застройки
[55.858044684319786, 49.07508621238122];12810;7525;Зона размещения садоводств
[55.85834573132192, 49.099798336658196];13992;7502;Зона многоквартиной многоэтажной жилой застройки
[55.86616805308165, 49.10151644971311];14059;6851;Зона многоквартиной многоэтажной жилой застройки
[55.8586505605542, 49.08114848868554];13099;7475;Зона индифидуальной и блокированной жилой застройки
[55.85999253943546, 49.07561203916653];12832;7362;Зона индифидуальной и блокированной жилой застройки
[55.86619321606665, 49.10221659100116];14092;6849;Зона многоквартиной многоэтажной жилой застройки
[55.85725661788737, 49.0905119132742];13550;7592;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.86564089179483, 49.10062335466639];14017;6895;Зона многоквартиной многоэтажной жилой застройки
[55.8659729627288, 49.102020063165895];14083;6867;Зона многоквартиной многоэтажной жилой застройки
[55.865562834220555, 49.10261358352554];14112;6902;Зона многоквартиной многоэтажной жилой застройки
[55.86587309851234, 49.10028508672119];14000;6875;Зона многоквартиной многоэтажной жилой застройки
[55.853449897625644, 49.0826809729476];13183;7908;Зона многоквартиной многоэтажной жилой застройки
[55.859091975307834, 49.09845882300711];13927;7440;Зона перспективного формирования жилых районов, освоения территории при условии разработки проекта планировки и Зона многоквартиной многоэтажной жилой застройки с высокой долей общественных функций
[55.86022377709355, 49.09208626159901];13620;7345;Зона многоквартиной многоэтажной жилой застройки
